top - 10:18:53 up 25 min,  1 user,  load average: 1,41, 1,67, 1,48
Tasks: 379 total,   1 running, 378 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7,7 us,  3,1 sy,  0,0 ni, 89,2 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  31835,6 total,  23171,5 free,   4322,7 used,   4341,4 buff/cache
MiB Swap:   7628,0 total,   7628,0 free,      0,0 used.  26292,3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  13214 root      20   0  720756   9660   7348 S   0,0   0,0   0:00.05 contain+
  13236 root      20   0    4116   3396   2952 S   0,0   0,0   0:00.03 bash
  13270 root      20   0 1329536  24084  16052 S   0,0   0,1   0:00.02 docker
  13387 root      20   0    4116   3464   2928 S   0,0   0,0   0:00.03 bash
  13410 root      20   0 1230608   3164   2372 S   0,0   0,0   0:00.00 docker-+
  13417 root      20   0 1230608   3172   2384 S   0,0   0,0   0:00.00 docker-+
  13432 root      20   0 1230608   3220   2440 S   0,0   0,0   0:00.00 docker-+
  13439 root      20   0 1230352   3232   2452 S   0,0   0,0   0:00.00 docker-+
  13454 root      20   0  720500   9524   7220 S   0,0   0,0   0:00.02 contain+
  13478 root      20   0    4116   3420   2980 S   0,0   0,0   0:00.04 bash
  13512 root      20   0 1255292  24092  16600 S   0,0   0,1   0:00.01 docker
  13557 root      20   0    4116   3496   2960 S   0,0   0,0   0:00.03 bash
  13622 root      20   0 1083144   3080   2288 S   0,0   0,0   0:00.00 docker-+
  13630 root      20   0 1230352   3168   2380 S   0,0   0,0   0:00.00 docker-+
  13669 root      20   0  720756  10444   8064 S   0,0   0,0   0:00.02 contain+
  13719 root      20   0    4116   3396   2960 S   0,0   0,0   0:00.04 bash
  13739 root      20   0    2372    492    432 S   0,0   0,0   0:00.00 erl_chi+
  13788 root      20   0 1402756  24328  16668 S   0,0   0,1   0:00.02 docker
  13836 root      20   0    4116   3416   2884 S   0,0   0,0   0:00.03 bash
  13853 root      20   0   18212   3592   3320 S   0,0   0,0   0:00.00 bash
  13856 root      20   0   18316   3584   3276 S   0,0   0,0   0:00.01 bash
  13859 root      20   0   18212   3700   3404 S   0,0   0,0   0:00.01 bash
  13862 root      20   0   18212   3536   3264 S   0,0   0,0   0:00.00 bash
  13865 root      20   0   18212   3652   3380 S   0,0   0,0   0:00.00 bash
  14003 root      20   0    2948   2316   1812 S   0,0   0,0   0:00.05 control+
  14156 root      20   0    2484    512    444 S   0,0   0,0   0:00.00 sh
  14157 root      20   0    2236    496    432 S   0,0   0,0   0:00.01 memsup
  14158 root      20   0    2368    500    436 S   0,0   0,0   0:00.00 cpu_sup
  14161 root      20   0    4556   1008    840 S   0,0   0,0   0:00.00 erlang_+
  14162 root      20   0    4556   1064    896 S   0,0   0,0   0:00.00 erlang_+
  14163 root      20   0    4556   1064    892 S   0,0   0,0   0:00.00 erlang_+
  14164 root      20   0    4556   1076    904 S   0,0   0,0   0:00.00 erlang_+
  14165 root      20   0    4556   1076    904 S   0,0   0,0   0:00.00 erlang_+
  14166 root      20   0    4556   1012    840 S   0,0   0,0   0:00.00 erlang_+
  14167 root      20   0    4556   1008    836 S   0,0   0,0   0:00.00 erlang_+
  14168 root      20   0    4556   1012    840 S   0,0   0,0   0:00.00 erlang_+
  14265 root      20   0    3716    888    804 S   0,0   0,0   0:00.00 inet_ge+
  14266 root      20   0    3932   1748   1608 S   0,0   0,0   0:00.00 inet_ge+
  14267 root      20   0   20576   4764   4044 S   0,0   0,0   0:00.00 sudo
  14268 root      20   0 1329280  23516  15808 S   0,0   0,1   0:00.02 docker
  14313 root      20   0    4232   3512   2964 S   0,0   0,0   0:00.02 bash
  14321 root      20   0   20572   4672   3952 S   0,0   0,0   0:00.00 sudo
  14322 root      20   0 1329024  24268  16320 S   0,0   0,1   0:00.02 docker
  14368 root      20   0    4228   3532   2984 S   0,0   0,0   0:00.01 bash
  14469 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
